timestamp,machine_id,temperature,vibration,power_usage,runtime_hours
2025-06-01 00:00:00,M01,61.33,0.42,158.83,8.42
2025-06-01 01:00:00,M01,72.47,0.91,142.64,9.02
2025-06-01 02:00:00,M01,67.68,0.85,128.23,9.52
2025-06-01 03:00:00,M01,77.11,0.84,173.29,9.45
2025-06-01 04:00:00,M01,74.61,0.24,160.4,8.87
2025-06-01 05:00:00,M01,63.09,0.49,162.84,6.05
2025-06-01 06:00:00,M01,68.01,0.42,131.79,8.75
2025-06-01 07:00:00,M01,80.35,0.28,142.0,6.25
2025-06-01 08:00:00,M01,73.79,0.8,154.27,9.27
2025-06-01 09:00:00,M01,61.4,0.59,142.1,6.92
2025-06-01 10:00:00,M01,67.61,0.92,147.19,7.16
2025-06-01 11:00:00,M01,62.57,0.78,126.31,7.97
2025-06-01 12:00:00,M01,71.73,0.31,139.35,6.09
2025-06-01 13:00:00,M01,68.72,0.67,136.99,8.53
2025-06-01 14:00:00,M01,74.9,0.38,164.46,8.82
2025-06-01 15:00:00,M01,74.35,0.69,147.13,6.94
2025-06-01 16:00:00,M01,69.76,0.34,142.39,7.16
2025-06-01 17:00:00,M01,73.52,0.88,161.2,7.0
2025-06-01 18:00:00,M01,72.09,0.33,162.17,6.04
2025-06-01 19:00:00,M01,68.9,0.39,155.61,6.92
2025-06-01 20:00:00,M01,65.92,0.92,152.4,7.72
2025-06-01 21:00:00,M01,67.74,0.84,166.49,9.19
2025-06-01 22:00:00,M01,79.49,0.33,148.35,8.17
2025-06-01 23:00:00,M01,71.63,0.73,138.09,8.54
2025-06-02 00:00:00,M01,61.58,0.59,164.99,7.53
2025-06-02 01:00:00,M01,63.58,0.95,150.21,7.38
2025-06-02 02:00:00,M01,62.27,0.97,172.93,6.78
2025-06-02 03:00:00,M01,75.57,0.91,154.35,7.9
2025-06-02 04:00:00,M01,65.1,0.39,163.85,8.06
2025-06-02 05:00:00,M01,71.87,0.99,163.65,8.25
2025-06-02 06:00:00,M01,62.5,0.76,184.02,7.24
2025-06-02 07:00:00,M01,68.17,0.99,175.65,9.82
2025-06-02 08:00:00,M01,61.98,0.57,161.26,7.35
2025-06-02 09:00:00,M01,78.39,0.52,143.59,6.4
2025-06-02 10:00:00,M01,68.87,0.65,158.28,9.5
2025-06-02 11:00:00,M01,60.23,0.44,153.48,8.36
2025-06-02 12:00:00,M01,71.91,0.37,147.17,7.9
2025-06-02 13:00:00,M01,61.92,0.93,145.94,9.41
2025-06-02 14:00:00,M01,65.21,0.37,149.58,6.22
2025-06-02 15:00:00,M01,67.82,0.58,141.79,8.43
2025-06-02 16:00:00,M01,70.58,0.68,154.88,7.31
2025-06-02 17:00:00,M01,71.56,0.45,153.94,7.71
2025-06-02 18:00:00,M01,74.37,0.77,113.94,9.98
2025-06-02 19:00:00,M01,70.27,0.99,122.1,9.98
2025-06-02 20:00:00,M01,70.0,0.99,134.37,6.87
2025-06-02 21:00:00,M01,65.9,0.81,145.85,9.36
2025-06-02 22:00:00,M01,71.03,0.47,158.29,7.78
2025-06-02 23:00:00,M01,76.26,0.44,152.48,8.44
2025-06-03 00:00:00,M01,67.35,0.77,142.57,9.97
2025-06-03 01:00:00,M01,70.77,0.79,174.39,8.27
2025-06-03 02:00:00,M01,69.94,0.54,142.04,6.53
2025-06-03 03:00:00,M01,67.27,0.58,146.4,8.04
2025-06-03 04:00:00,M01,61.82,0.35,141.95,7.14
2025-06-03 05:00:00,M01,73.8,0.3,166.24,6.18
2025-06-03 06:00:00,M01,66.86,0.22,143.26,6.29
2025-06-03 07:00:00,M01,72.56,0.97,143.0,6.27
2025-06-03 08:00:00,M01,68.47,0.31,155.74,7.18
2025-06-03 09:00:00,M01,72.54,0.84,160.18,7.72
2025-06-03 10:00:00,M01,71.56,0.59,138.25,6.75
2025-06-03 11:00:00,M01,72.06,0.89,173.83,6.48
2025-06-03 12:00:00,M01,71.04,0.52,127.19,6.83
2025-06-03 13:00:00,M01,70.22,0.51,150.09,9.55
2025-06-03 14:00:00,M01,65.69,0.25,168.64,6.58
2025-06-03 15:00:00,M01,60.98,0.46,139.69,7.88
2025-06-03 16:00:00,M01,70.86,0.85,150.67,9.45
2025-06-03 17:00:00,M01,71.16,0.24,125.74,6.62
2025-06-03 18:00:00,M01,73.94,0.29,171.97,8.92
2025-06-03 19:00:00,M01,65.11,0.24,152.6,9.37
2025-06-03 20:00:00,M01,67.9,0.38,145.95,6.66
2025-06-03 21:00:00,M01,69.27,0.31,163.5,7.62
2025-06-03 22:00:00,M01,67.21,0.44,146.97,6.46
2025-06-03 23:00:00,M01,70.6,0.6,139.97,9.99
2025-06-04 00:00:00,M01,75.82,0.38,137.21,6.33
2025-06-04 01:00:00,M01,66.66,0.53,132.72,7.06
